Date,Open,High,Low,Close,Adj Close,Volume
9/6/2022,1813.180054,1815.150024,1786.680054,1792.319946,1792.319946,4127340000
9/7/2022,1789.560059,1832.569946,1787.430054,1832,1832,3890320000
9/8/2022,1823.48999,1846.910034,1810.51001,1846.910034,1846.910034,3966850000
9/9/2022,1857.140015,1884.900024,1857.140015,1882.849976,1882.849976,3901940000
9/12/2022,1889.800049,1906.089966,1889.800049,1906.089966,1906.089966,3814200000
9/13/2022,1879.540039,1879.540039,1825.420044,1831.569946,1831.569946,4224550000
9/14/2022,1832.689941,1840.589966,1817.52002,1838.459961,1838.459961,4293240000
9/15/2022,1830.969971,1853.030029,1818.410034,1825.22998,1825.22998,4441830000
9/16/2022,1813.859985,1813.859985,1778.77002,1798.189941,1798.189941,7954650000
9/19/2022,1785.719971,1813.939941,1777.27002,1812.839966,1812.839966,3766850000
9/20/2022,1801.48999,1801.48999,1776.310059,1787.5,1787.5,4058050000
9/21/2022,1796.199951,1813.660034,1761.969971,1762.160034,1762.160034,4078330000
9/22/2022,1760.150024,1760.310059,1716.209961,1722.310059,1722.310059,4284600000
9/23/2022,1707.609985,1707.609985,1658.660034,1679.589966,1679.589966,5144270000
9/26/2022,1674.339966,1701.23999,1653.430054,1655.880005,1655.880005,4886140000
9/27/2022,1669.170044,1689.530029,1650.709961,1662.51001,1662.51001,4577740000
9/28/2022,1668.790039,1725.280029,1668.790039,1715.23999,1715.23999,4684850000
9/29/2022,1710.819946,1710.819946,1656.410034,1674.930054,1674.930054,4681810000
9/30/2022,1672.890015,1707.75,1664.27002,1664.719971,1664.719971,5645360000
10/3/2022,1687.280029,1717.290039,1671.619995,1708.869995,1708.869995,4806680000
10/4/2022,1735.819946,1775.77002,1735.819946,1775.77002,1775.77002,5146580000
10/5/2022,1748.790039,1767.819946,1732.089966,1762.689941,1762.689941,4293180000
10/6/2022,1756.420044,1772.25,1747.030029,1752.51001,1752.51001,4252100000
10/7/2022,1734.650024,1734.920044,1694.959961,1702.150024,1702.150024,4449660000
10/10/2022,1706.160034,1706.829956,1681.97998,1691.920044,1691.920044,3834320000
10/11/2022,1687.599976,1713.73999,1664.910034,1692.920044,1692.920044,4759030000
10/12/2022,1692.959961,1696.790039,1671.880005,1687.76001,1687.76001,4006830000
10/13/2022,1653.949951,1734.27002,1641.939941,1728.410034,1728.410034,5021680000
10/14/2022,1741.319946,1747.839966,1681.5,1682.400024,1682.400024,4243030000
10/17/2022,1701.160034,1738.699951,1701.160034,1735.75,1735.75,4352780000
10/18/2022,1756.359985,1782.069946,1744,1755.959961,1755.959961,4483740000
10/19/2022,1746.969971,1746.969971,1710.209961,1725.76001,1725.76001,4223800000
10/20/2022,1726.550049,1746.290039,1699.97998,1704.390015,1704.390015,4496620000
10/21/2022,1709.609985,1744.900024,1700.630005,1742.23999,1742.23999,5078020000
10/24/2022,1747.680054,1751.439941,1727.199951,1748.400024,1748.400024,4747930000
10/25/2022,1749.619995,1801.199951,1749.619995,1796.160034,1796.160034,4843120000
10/26/2022,1801.98999,1836.060059,1801.290039,1804.329956,1804.329956,4817310000
10/27/2022,1815.52002,1832.089966,1804.699951,1806.319946,1806.319946,4687320000
10/28/2022,1811.619995,1848.25,1804.819946,1846.920044,1846.920044,4459410000
10/31/2022,1839.170044,1854.569946,1833.589966,1846.859985,1846.859985,4820620000
11/1/2022,1864.949951,1868.75,1845.930054,1851.390015,1851.390015,4481210000
11/2/2022,1845.079956,1861.569946,1789.130005,1789.140015,1789.140015,4899000000
11/3/2022,1768.459961,1791.810059,1758.050049,1779.72998,1779.72998,4625290000
11/4/2022,1800.810059,1809.640015,1771.109985,1799.869995,1799.869995,5400180000
11/7/2022,1808.079956,1814.76001,1793.98999,1809.810059,1809.810059,4341620000
11/8/2022,1815.52002,1831.199951,1790.880005,1808.930054,1808.930054,4607640000
11/9/2022,1796.359985,1796.849976,1757.449951,1760.400024,1760.400024,4645010000
11/10/2022,1811.280029,1868.280029,1811.280029,1867.930054,1867.930054,5781260000
11/11/2022,1872.920044,1899.959961,1872.920044,1882.73999,1882.73999,5593310000
